# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object137   33.00335   -3.6196    13.213   12.745   12.71    16.263   15.216   14.345   14.774   14.548  
  object138   32.81209   -3.2989    14.021   13.328   13.243   18.582   16.366   15.317   14.862   14.603  
  object139   34.98494   -5.55651   16.313   16.337   16.397   17.74    16.702   16.597   16.58    16.615  
  object140   34.18473   -5.54778   14.037   13.406   13.139   20.822   18.64    17.259   16.075   15.393  
  object141   36.04865   -5.41735   12.457   11.998   11.884   16.271   14.708   13.986   13.73    13.566  
  object142   33.87988   -4.95214   15.16    14.544   14.46    19.143   17.503   16.786   16.464   16.31   
  object143   34.10814   -4.87031   11.85    11.161   10.985   18.087   15.507   14.232   15.824   13.04   
  object144   33.94653   -4.86894   12.126   11.65    11.533   16.101   14.575   13.773   13.603   13.266  
  object145   36.36967   -4.77709   13.369   13.04    12.957   16.122   14.837   14.425   14.25    14.211  
  object146   35.79607   -4.69664   16.422   15.663   15.333   19.265   17.955   17.447   17.252   17.16   
  object147   33.81489   -4.5187    15.063   14.645   14.474   18.275   16.734   16.135   15.924   15.824  
  object148   35.59449   -4.49217   16.452   16.202   15.576   19.559   18.156   17.556   17.368   17.244  
  object149   35.01281   -3.48604   13.575   13.063   13.044   16.81    15.513   14.897   14.659   14.561  
  object150   35.54648   -3.17035   12.058   11.75    11.715   15.029   13.685   13.195   13.23    13.093  
  object151   35.0615    -3.12338   11.11    10.69    10.6     14.691   14.941   12.661   12.389   12.901  
  object152   36.98373   -5.57651   13.947   13.553   13.468   16.802   15.597   15.089   14.919   14.876  
  object153   37.64074   -5.14973   999       999       999       999       999       999       999       999      
  object154   37.95183   -4.54121   11.322   11.08    11.037   14.942   13.092   12.526   12.454   13.396  
  object155   37.85161   -4.20517   14.268   13.874   13.811   17.311   15.98    15.448   15.216   15.101  
  object156   37.99898   -3.97573   11.779   11.162   10.932   19.267   16.603   15.191   14.186   13.181  
  object157   36.57258   -3.09864   16.128   15.419   15.455   21.694   19.617   18.414   17.986   17.74   
  object158   41.86846   -5.49441   13.468   12.83    12.636   19.591   17.139   15.895   15.262   14.873  
  object159   39.36152   -4.92274   16.719   16.464   17.128   18.401   17.303   17.276   17.291   17.332  
  object160   39.48483   -3.23443   13.777   13.384   13.316   16.736   15.439   14.993   14.816   14.736  
  object161   44.74218   -4.24653   12.405   12.238   12.145   15.07    15.254   13.388   14.613   13.628  
  object162   42.51712   -3.97375   13.964   13.333   13.25    18.46    16.553   15.69    15.293   15.073  
  object163   42.22958   -3.21018   16.503   15.725   15.099   21.971   19.32    18.341   17.962   17.741  
  object164   45.69845   -5.60317   13.339   12.574   12.404   20.042   17.647   15.993   15.222   14.77   
  object165   46.44864   -5.4909    13.071   12.39    12.24    999       999       999       999       999      
  object166   47.66537   -4.9275    12.182   11.88    11.827   999       999       999       999       999      
  object167   45.16392   -4.57172   15.77    15.146   15.32    20.125   18.334   17.484   17.162   16.952  
  object168   46.67807   -4.2276    14.116   13.503   13.365   999       999       999       999       999      
  object169   45.79723   -3.52293   12.15    11.617   11.503   16.609   14.819   13.839   13.58    13.484  
